day_id,open,high,low,close,volume
D0030900,0.6342,0.63836,0.6342,0.63659,3894.4111
D0030915,0.63614,0.63614,0.63322,0.63361,11422.1424
D0030930,0.63411,0.63426,0.62915,0.62987,5207.357
D0030945,0.62912,0.63327,0.62871,0.63233,2809.7701
D0031000,0.63338,0.63836,0.63286,0.63836,2463.3442
D0031015,0.63804,0.63825,0.63561,0.63678,553.9246
D0031030,0.63583,0.63583,0.6329,0.63315,5407.3772
D0031045,0.63398,0.63677,0.63398,0.63603,10077.6469
D0031100,0.63644,0.63818,0.63531,0.63818,10481.2714
D0031115,0.63802,0.63802,0.63235,0.63395,6666.3521
D0031130,0.63325,0.63735,0.63214,0.63608,1654.9121
D0031145,0.63632,0.63676,0.6355,0.6361,16243.4955
D0031200,0.63632,0.63841,0.63632,0.63818,6060.9024
D0031215,0.6385,0.639,0.63751,0.63887,5870.5329
D0031230,0.63872,0.64093,0.63397,0.63511,4004.8991
D0031245,0.63397,0.63459,0.63186,0.63315,3024.6071
D0031300,0.63389,0.63649,0.63336,0.63472,8235.6044
D0031315,0.63472,0.63657,0.63343,0.63538,20669.8065
D0031330,0.63406,0.6355,0.63129,0.63129,10830.7349
D0031345,0.6313,0.63289,0.62861,0.62923,16953.0101
D0031400,0.62928,0.63467,0.6278,0.63446,3196.2039
D0031415,0.63445,0.63735,0.63244,0.63495,9638.5317
D0031430,0.63469,0.63478,0.63322,0.63478,3618.8921
D0031445,0.63384,0.63518,0.63188,0.63454,8665.8588
D0031500,0.63395,0.63503,0.62813,0.62993,22389.44
D0031515,0.62978,0.63278,0.62864,0.6304,13132.6094
D0031530,0.63073,0.63161,0.62637,0.63035,5214.7136
D0031545,0.6285,0.63224,0.62799,0.63224,2381.2105
D0031600,0.63235,0.634,0.62987,0.634,22719.0862
D0031615,0.63402,0.64131,0.63358,0.64066,14379.9666
D0031630,0.63957,0.63966,0.63634,0.63778,5357.1702
D0031645,0.63613,0.64055,0.63613,0.6404,8753.689
D0031700,0.63925,0.64551,0.638,0.64334,25328.5456
D0031715,0.64139,0.64142,0.63241,0.63241,10853.411
D0031730,0.63235,0.63467,0.62884,0.62935,11925.3115
D0031745,0.6288,0.63341,0.62872,0.63285,9513.1904
D0031800,0.63189,0.63432,0.6231,0.6231,13892.4904
D0031815,0.62414,0.62775,0.62215,0.62692,29949.4898
D0031830,0.62465,0.62564,0.61736,0.61736,17716.3434
D0031845,0.61781,0.6249,0.61765,0.62239,24071.3957
D0031900,0.62182,0.62691,0.62153,0.62689,78346.1114
D0031915,0.62692,0.6297,0.62467,0.62961,19796.846
D0031930,0.62975,0.63833,0.62975,0.63752,15835.2435
D0031945,0.63599,0.63872,0.63424,0.63705,6272.2327
D0032000,0.63575,0.64069,0.62842,0.64069,40891.766
D0032015,0.64058,0.6448,0.63863,0.64074,21681.4616
D0032030,0.64111,0.64111,0.63464,0.63549,19245.5439
D0032045,0.63527,0.63651,0.63059,0.63651,5912.8346
D0032100,0.63597,0.63597,0.6308,0.63152,2237.458
D0032115,0.63188,0.6341,0.63016,0.63034,16270.0507
D0032130,0.63076,0.63168,0.62877,0.63079,3437.9372
D0032145,0.63079,0.63539,0.63079,0.63539,2815.037
D0032200,0.63476,0.63807,0.63461,0.63704,3015.7527
D0032215,0.63819,0.63836,0.63302,0.63517,416.9001
D0032230,0.63466,0.63466,0.63167,0.63434,16929.2672
D0032245,0.63267,0.6331,0.63203,0.63211,1912.5854
D0032300,0.6321,0.6339,0.63173,0.63307,3778.5287
D0032315,0.63339,0.63339,0.6321,0.6321,156.1472
D0032330,0.63211,0.6347,0.63069,0.63442,1319.511
D0032345,0.63414,0.6351,0.6337,0.63384,1812.99
D0040000,0.63362,0.63735,0.63088,0.63713,4597.8761
D0040015,0.63659,0.63775,0.63502,0.63502,912.4715
D0040030,0.63423,0.63423,0.62715,0.62992,6739.1011
D0040045,0.62974,0.63263,0.62584,0.62989,3908.5024
D0040100,0.62885,0.63189,0.62498,0.63189,3190.7432
D0040115,0.632,0.63376,0.63074,0.632,6863.7751
D0040130,0.63164,0.63189,0.6285,0.62925,10032.8913
D0040145,0.62888,0.63177,0.62387,0.62403,6633.9522
D0040200,0.62416,0.62719,0.62168,0.62439,16755.9272
D0040215,0.6231,0.62482,0.62088,0.62362,12883.4725
D0040230,0.62404,0.62525,0.6228,0.62451,3673.7063
D0040245,0.62522,0.6279,0.6228,0.62761,6927.5406
D0040300,0.62799,0.63087,0.62799,0.62955,1831.8649
D0040315,0.63,0.64095,0.63,0.64092,4373.1375
D0040330,0.64112,0.64326,0.63872,0.63926,5378.672
D0040345,0.64019,0.64307,0.64002,0.64134,3189.1475
D0040400,0.64239,0.64239,0.63941,0.63969,5195.6736
D0040415,0.6388,0.63963,0.6354,0.63666,24255.052
D0040430,0.63697,0.63697,0.63477,0.63594,1370.4146
